timestamp,lot_name,occupied_spots,available_spots,total_capacity
2026-02-02 17:00,Stadium_Deck,2,2,4
2026-02-02 17:00,Athletics_Deck,3,1,4
2026-02-02 17:00,Haley_Deck,2,0,2
2026-02-02 17:05,Stadium_Deck,3,1,4
2026-02-02 17:05,Athletics_Deck,3,1,4
2026-02-02 17:05,Haley_Deck,2,0,2
2026-02-02 17:10,Stadium_Deck,3,1,4
2026-02-02 17:10,Athletics_Deck,3,1,4
2026-02-02 17:10,Haley_Deck,2,0,2
2026-02-02 17:15,Stadium_Deck,3,1,4
2026-02-02 17:15,Athletics_Deck,3,1,4
2026-02-02 17:15,Haley_Deck,2,0,2
2026-02-02 17:20,Stadium_Deck,3,1,4
2026-02-02 17:20,Athletics_Deck,3,1,4
2026-02-02 17:20,Haley_Deck,2,0,2
2026-02-02 17:25,Stadium_Deck,4,0,4
2026-02-02 17:25,Athletics_Deck,4,0,4
2026-02-02 17:25,Haley_Deck,2,0,2
2026-02-02 17:30,Stadium_Deck,4,0,4
2026-02-02 17:30,Athletics_Deck,3,1,4
2026-02-02 17:30,Haley_Deck,2,0,2
2026-02-02 17:35,Stadium_Deck,4,0,4
2026-02-02 17:35,Athletics_Deck,3,1,4
2026-02-02 17:35,Haley_Deck,2,0,2
2026-02-02 17:40,Stadium_Deck,4,0,4
2026-02-02 17:40,Athletics_Deck,1,3,4
2026-02-02 17:40,Haley_Deck,2,0,2
2026-02-02 17:45,Stadium_Deck,4,0,4
2026-02-02 17:45,Athletics_Deck,1,3,4
2026-02-02 17:45,Haley_Deck,2,0,2
2026-02-02 17:50,Stadium_Deck,4,0,4
2026-02-02 17:50,Athletics_Deck,1,3,4
2026-02-02 17:50,Haley_Deck,2,0,2
2026-02-02 17:55,Stadium_Deck,4,0,4
2026-02-02 17:55,Athletics_Deck,2,2,4
2026-02-02 17:55,Haley_Deck,2,0,2
2026-02-02 18:00,Stadium_Deck,4,0,4
2026-02-02 18:00,Athletics_Deck,2,2,4
2026-02-02 18:00,Haley_Deck,2,0,2
2026-02-02 18:05,Stadium_Deck,4,0,4
2026-02-02 18:05,Athletics_Deck,1,3,4
2026-02-02 18:05,Haley_Deck,2,0,2
2026-02-02 18:10,Stadium_Deck,4,0,4
2026-02-02 18:10,Athletics_Deck,1,3,4
2026-02-02 18:10,Haley_Deck,2,0,2
2026-02-02 18:15,Stadium_Deck,4,0,4
2026-02-02 18:15,Athletics_Deck,1,3,4
2026-02-02 18:15,Haley_Deck,2,0,2
2026-02-02 18:20,Stadium_Deck,4,0,4
2026-02-02 18:20,Athletics_Deck,0,4,4
2026-02-02 18:20,Haley_Deck,2,0,2
2026-02-02 18:25,Stadium_Deck,4,0,4
2026-02-02 18:25,Athletics_Deck,0,4,4
2026-02-02 18:25,Haley_Deck,2,0,2
2026-02-02 18:30,Stadium_Deck,4,0,4
2026-02-02 18:30,Athletics_Deck,0,4,4
2026-02-02 18:30,Haley_Deck,2,0,2
2026-02-02 18:35,Stadium_Deck,3,1,4
2026-02-02 18:35,Athletics_Deck,0,4,4
2026-02-02 18:35,Haley_Deck,2,0,2
2026-02-02 18:40,Stadium_Deck,4,0,4
2026-02-02 18:40,Athletics_Deck,1,3,4
2026-02-02 18:40,Haley_Deck,2,0,2
2026-02-02 18:45,Stadium_Deck,4,0,4
2026-02-02 18:45,Athletics_Deck,1,3,4
2026-02-02 18:45,Haley_Deck,2,0,2
2026-02-02 18:50,Stadium_Deck,4,0,4
2026-02-02 18:50,Athletics_Deck,1,3,4
2026-02-02 18:50,Haley_Deck,2,0,2
2026-02-02 18:55,Stadium_Deck,4,0,4
2026-02-02 18:55,Athletics_Deck,1,3,4
2026-02-02 18:55,Haley_Deck,2,0,2
2026-02-02 19:00,Stadium_Deck,4,0,4
2026-02-02 19:00,Athletics_Deck,1,3,4
2026-02-02 19:00,Haley_Deck,2,0,2
2026-02-02 19:05,Stadium_Deck,4,0,4
2026-02-02 19:05,Athletics_Deck,1,3,4
2026-02-02 19:05,Haley_Deck,1,1,2
2026-02-02 19:10,Stadium_Deck,4,0,4
2026-02-02 19:10,Athletics_Deck,1,3,4
2026-02-02 19:10,Haley_Deck,1,1,2
2026-02-02 19:15,Stadium_Deck,3,1,4
2026-02-02 19:15,Athletics_Deck,1,3,4
2026-02-02 19:15,Haley_Deck,1,1,2
2026-02-02 19:20,Stadium_Deck,4,0,4
2026-02-02 19:20,Athletics_Deck,1,3,4
2026-02-02 19:20,Haley_Deck,1,1,2
2026-02-02 19:25,Stadium_Deck,4,0,4
2026-02-02 19:25,Athletics_Deck,1,3,4
2026-02-02 19:25,Haley_Deck,1,1,2
2026-02-02 19:30,Stadium_Deck,3,1,4
2026-02-02 19:30,Athletics_Deck,1,3,4
2026-02-02 19:30,Haley_Deck,1,1,2
2026-02-02 19:35,Stadium_Deck,4,0,4
2026-02-02 19:35,Athletics_Deck,1,3,4
2026-02-02 19:35,Haley_Deck,1,1,2
2026-02-02 19:40,Stadium_Deck,4,0,4
2026-02-02 19:40,Athletics_Deck,1,3,4
2026-02-02 19:40,Haley_Deck,1,1,2
2026-02-02 19:45,Stadium_Deck,4,0,4
2026-02-02 19:45,Athletics_Deck,1,3,4
2026-02-02 19:45,Haley_Deck,2,0,2
2026-02-02 19:50,Stadium_Deck,4,0,4
2026-02-02 19:50,Athletics_Deck,1,3,4
2026-02-02 19:50,Haley_Deck,2,0,2
2026-02-02 19:55,Stadium_Deck,3,1,4
2026-02-02 19:55,Athletics_Deck,1,3,4
2026-02-02 19:55,Haley_Deck,1,1,2
2026-02-02 20:00,Stadium_Deck,4,0,4
2026-02-02 20:00,Athletics_Deck,1,3,4
